Ciudad;Dia;Hora
Retiro;Lunes;09:30
Rosario Norte;Lunes;17:00
Gálvez;Lunes;20:08
Rafaela;Lunes;22:22
Ceres;Martes;01:53
Pinto;Martes;04:00
Colonia Dora;Martes;05:49
La Banda;Martes;09:06
Tucumán;Martes;12:56
